,Fires..age.adjusted.mortality.per.100.000,Drownings..age.adjusted.mortality.per.100.000,Poisonings..age.adjusted.mortality.per.100.000,Falls..age.adjusted.mortality.per.100.000,Total.Cholesterol(F)..mmol.L.,Total.Cholesterol(M)..mmol.L.,Average.Systolic.BP(F)..mm.Hg.,Average.Systolic.BP(M)..mm.Hg.,Female.BMI,Male.BMI,General.government.expenditure.on.health.as.percentage.of.total.government.expenditure,Total.expenditure.on.health.as.percentage.of.GDP..gross.domestic.product.,Per.capita.total.expenditure.on.health.at.average.exchange.rate..US..,Per.capita.total.expenditure.on.health..PPP.int....,One.year.olds.immunized.with.MCV....,One.year.olds.immunized.with.three.doses.of.diphtheria.tetanus.toxoid.and.pertussis..DTP3.....
Sweden,0.697188,1.045261,2.305253,2.481098,5.18503,5.31762,125.0731,132.6917,24.99897,25.89779,13.51521642,9.22815647,2594.846375,2701.798762,95,99
Switzerland,0.326187,0.8517751,0.1347048,5.883059,5.349241,5.41266,121.6552,130.8682,24.04547,25.89402,17.42348297,10.91254262,4140.599205,3643.78885,82,93
Syria,3.510004,1.724574,1.090666,1.273022,4.885778,4.717328,127.6258,127.8332,28.23422,26.41778,6.48925752,4.94246813,57.28218237,172.401769,84,84
Tajikistan,1.538822,4.360607,3.565241,1.154919,4.386023,4.206226,128.7498,130.757,23.38196,23.33256,5.63566933,4.4802285,8.70280153,47.20252159,89,85
Tanzania,4.848667,11.30651,9.041296,4.008013,4.250212,4.068414,128.5271,128.8473,22.5268,21.96421,10.91115495,3.4233561,10.32342591,28.70003648,89,89
Thailand,0.6505961,4.966814,0.7524692,5.23597,5.039856,4.899475,120.5435,123.8858,23.9693,22.60467,9.31891614,3.70009891,72.62326312,196.9609901,94,96
Timor-Leste,9.119412,7.999894,5.957623,10.55452,4.422486,4.267606,121.7147,124.8872,21.26846,20.61505,41.19201521,10.55860612,33.77663977,69.96144191,56,54
Togo,6.543854,7.91406,7.253082,5.389999,4.169999,3.886154,129.8265,131.2482,22.07173,21.51224,6.9022832,5.11494962,14.13123416,38.2423521,48,59
Tonga,3.612605,3.92946,2.788512,0.0309489,4.861333,5.029159,124.693,129.7242,32.90918,30.10416,11.82744805,5.05624055,92.32524331,191.1831838,90,90
Trinidad and Tobago,0.7150832,4.684053,0.3437237,3.835178,4.756425,4.582133,124.3713,129.0252,27.50818,25.685,8.83642931,4.78450879,331.1226452,683.9231502,87,96
Tunisia,4.839368,3.023738,2.919016,4.751326,4.830195,4.567758,129.5677,128.5166,27.26516,24.41337,8.06899221,5.84987307,127.776707,310.6369999,94,96
Turkey,0.9746662,0.959766,0.8118776,1.675977,4.855077,4.741371,126.0769,125.2408,27.89841,25.92331,9.07152001,5.3567135,187.73602,464.2682185,83,78
Turkmenistan,8.446925,7.036347,4.095779,2.024848,4.662016,4.527368,128.9949,131.6795,24.04933,24.49745,13.47051329,3.47745358,65.76792971,101.5214235,88,98
Uganda,5.111846,7.547772,10.2038,4.178698,4.288926,4.027256,132.7281,133.1009,21.9589,22.04069,9.69123647,7.53527143,17.62924501,57.68425454,62,57
Ukraine,3.837267,10.13841,29.58581,5.370097,4.949708,4.82475,131.2511,135.387,25.7026,24.77167,9.35146665,6.25349386,55.19271885,250.4471077,99,99
United Arab Emirates,2.339252,6.081578,0.3422347,3.707171,5.349833,5.246006,123.2669,128.0473,28.98793,27.27616,7.98061949,2.71758452,916.8143273,1084.058631,94,94
United Kingdom,0.6323395,0.4009245,1.952334,4.474754,5.45187,5.509975,127.7889,133.91,26.431,26.83783,14.68143416,7.56110606,2054.226488,2183.822909,85,91
United States,1.124378,1.347872,4.318336,3.064667,5.286608,5.234855,119.7817,123.9171,27.75614,27.90479,18.21412786,14.82363067,5452.996081,5452.996081,91,94
Uruguay,1.170222,3.78133,0.8641141,0.657182,5.001928,5.000945,124.619,131.6076,25.88269,25.96627,16.05667285,8.24109937,337.201986,642.4322671,95,95
Uzbekistan,1.883641,4.301025,2.627993,1.284248,4.509519,4.34006,123.7023,126.8317,24.86573,24.83998,6.26021256,5.52413304,21.10805189,87.79001956,97,99
Vanuatu,4.166044,5.576567,3.497464,0.0733076,4.725305,4.640861,130.6318,133.6033,27.23672,26.05661,12.63777706,3.86017801,51.92558798,118.202141,58,70
Venezuela,0.4097056,2.482172,0.4267504,5.330313,4.802348,4.575253,124.9664,131.8244,27.32819,26.7921,7.56135258,5.65358913,207.782994,451.5493278,83,65
Vietnam,4.761925,5.388711,4.324789,8.69049,4.565701,4.448647,121.4875,125.2282,20.47612,20.27145,5.66388656,5.14058145,22.39111689,83.50301315,96,75
Zambia,3.291871,6.452204,4.346364,3.54413,4.455595,4.331329,129.7063,130.9721,22.45268,20.24298,13.6056426,6.62989696,23.03959993,64.95458479,84,84
Zimbabwe,3.509604,6.349378,5.711973,4.323385,4.40654,4.222207,130.9397,130.5144,24.65855,21.79645,10.84110853,6.292250719,502.7477099,688.9066451,72,73
