,Fires..age.adjusted.mortality.per.100.000,Drownings..age.adjusted.mortality.per.100.000,Poisonings..age.adjusted.mortality.per.100.000,Falls..age.adjusted.mortality.per.100.000,Total.Cholesterol(F)..mmol.L.,Total.Cholesterol(M)..mmol.L.,Average.Systolic.BP(F)..mm.Hg.,Average.Systolic.BP(M)..mm.Hg.,Female.BMI,Male.BMI,General.government.expenditure.on.health.as.percentage.of.total.government.expenditure,Total.expenditure.on.health.as.percentage.of.GDP..gross.domestic.product.,Per.capita.total.expenditure.on.health.at.average.exchange.rate..US..,Per.capita.total.expenditure.on.health..PPP.int....,One.year.olds.immunized.with.MCV....,One.year.olds.immunized.with.three.doses.of.diphtheria.tetanus.toxoid.and.pertussis..DTP3.....
"Congo, Rep.",4.392453,10.17131,7.076365,3.709612,4.54941,4.304042,131.8192,133.4123,22.26737,21.47048,3.62473147,2.4,22.35925675,72.44692175,37,41
Costa Rica,0.1935318,4.226932,0.3832477,2.92673,4.884666,4.660567,121.6703,127.3645,26.29537,25.78377,22.21905494,7.7,316.3417106,573.8488137,94,94
Cote d'Ivoire,6.315687,16.71086,10.66167,5.341683,4.340296,4.078934,130.8075,133.0258,23.16914,22.15328,5.21357722,3.5,23.12727034,54.87882337,71,64
Croatia,0.8633497,2.215064,1.538751,7.306144,5.093568,5.023768,131.4386,135.5528,24.78217,26.03011,11.9742102,6.3,374.6882405,788.5646458,95,95
Cuba,0.6862583,2.653442,0.3206951,10.75212,4.708419,4.469863,125.4713,127.9879,25.73888,24.26055,11.1846544,6.5,194.7968231,171.570924,98,99
Cyprus,0.9647784,3.890298,0.1896975,0.4540549,5.262508,5.319263,124.5562,131.7244,25.63186,26.9245,6.88569557,6.1,885.8897118,1298.59421,86,98
Denmark,0.9470112,0.7514781,2.304068,12.70644,5.479227,5.620529,122.0758,131.0406,24.74319,25.52596,14.4507266,9.3,3018.616414,2870.453902,95,98
Djibouti,4.646749,8.38129,4.949175,6.021299,4.707457,4.666093,128.7091,131.3441,23.74615,22.77671,10.74951999,5.5,42.44570964,89.01301185,62,62
Dominica,0.7984221,9.893225,0.7849472,3.212226,4.865453,4.583246,130.1799,132.7415,28.09965,24.18375,9.09366475,6.5,238.3590211,398.1189068,99,98
Ecuador,1.436349,4.331627,2.388259,4.751126,4.837632,4.694382,123.7925,128.3746,26.55303,25.0947,9.72840577,5.5,107.4971837,295.113651,99,89
Egypt,0.7415208,4.095168,2.346999,2.60788,4.839036,4.584205,125.4958,125.3848,29.20828,26.24082,7.6053337,6.1,73.60372934,235.3812899,97,97
El Salvador,0.8139411,4.976488,0.2590109,4.371328,4.708999,4.511311,119.8362,124.5702,26.8835,25.67399,11.23644823,7.7,183.3094699,378.6141165,93,81
Equatorial Guinea,6.740559,6.9761,6.832407,5.58201,4.695409,4.494813,132.0235,135.0702,23.19161,22.59892,26.89808271,3.8,145.4983493,545.5349704,51,33
Eritrea,4.224055,9.689598,6.616404,3.47787,4.252667,4.16645,123.9032,126.7503,20.60579,20.79514,3.93965523,4.4,7.46286692,26.8690954,83,90
Estonia,9.986769,9.421692,27.94069,8.242321,5.296804,5.181261,129.9921,137.4876,24.92251,25.45733,10.44820112,5.6,298.4120973,664.1763175,95,94
Ethiopia,4.576916,5.008823,5.052752,3.748736,4.203238,4.101121,123.9984,126.9703,20.1839,19.89855,10.15973132,4.7,5.30305343,23.9083838,30,30
Fiji,5.213152,6.576886,5.376029,0.0762395,4.99216,5.15566,127.0538,129.0269,28.05165,25.5515,9.11980353,3.5,78.05817904,129.5804258,85,93
Finland,0.7688337,2.370722,9.005546,10.74791,5.436867,5.326874,128.6964,134.7557,25.41902,26.22336,11.53603062,7.8,2029.680474,2149.633182,96,98
France,0.6146837,0.8292216,0.730176,7.538716,5.43699,5.508677,122.8281,132.442,24.72699,25.49014,15.91056798,10.6,2489.203158,2922.640204,86,97
Gabon,5.599558,5.820488,6.95256,5.149407,4.942365,4.730976,132.3095,134.671,24.91982,23.62414,4.51573997,3.2,122.283802,380.8558093,55,45
Gambia,6.144121,6.680369,6.587919,5.190156,4.303299,3.974587,129.5809,132.2955,23.63134,21.07306,8.66303012,5.9,15.76195642,60.34613579,90,87
Georgia,1.524614,1.186092,0.9184131,0.2372586,4.71538,4.575564,130.9868,134.759,25.77232,24.79837,7.77349921,8.7,64.03320887,212.292857,78,84
Germany,0.4332326,0.5902155,0.6664206,4.398823,5.593814,5.716166,128.0019,135.5652,25.57631,26.78618,17.68069019,10.7,2610.346182,2944.794336,94,96
Ghana,5.66535,6.018633,5.766388,4.761881,4.238891,3.881479,128.9192,129.2149,23.47061,22.2469,9.04505607,4.8,14.57878352,48.37029034,78,78
Greece,0.6365197,2.805215,2.439875,3.39626,4.970351,5.048384,124.3581,128.7501,24.73157,25.82012,11.70306172,9.1,1220.569878,1965.108196,92,92
Grenada,1.49318,12.13399,6.075341,5.388952,4.733323,4.50842,125.0969,129.8161,26.54267,24.64323,9.70554926,6.6,353.6918608,536.6913421,96,98
Guatemala,0.2805381,1.359056,0.522908,7.328953,4.56032,4.301003,120.3851,124.8531,25.94954,24.80671,15.16057553,6.2,109.0178147,216.5212884,92,82
Guinea,6.687784,7.686021,8.118891,5.983692,4.222444,3.916545,131.2604,130.9569,21.94696,22.03964,6.05310341,6,21.43139054,51.06979306,46,54
Guinea-Bissau,5.627008,6.642478,6.21892,4.744575,4.170127,3.899176,129.6245,130.4335,22.44935,21.45472,7.67473981,7,10.97857786,65.72078142,73,57
Guyana,0.8390428,4.712037,0.5045692,16.48476,4.443061,4.173035,124.0295,127.0816,25.90456,23.46826,10.74152521,5.7,56.26579087,135.4471634,93,91
Haiti,2.197104,0.1334468,0.3348967,3.559812,4.373766,4.111091,124.3388,127.4584,22.67272,23.27578,10.81268611,5.2,18.88228631,52.50198608,57,53
Honduras,0.6900219,3.571065,0.8143135,1.290347,4.593344,4.361114,122.2106,126.2933,25.97615,24.62025,19.19236449,6.1,73.68115665,165.2693034,97,95
Hungary,1.286969,2.087842,0.7012736,17.53149,5.189877,5.151733,129.7824,136.2722,25.59566,26.48809,10.34789191,7.6,496.1277381,1113.729476,99,99
Iceland,0.5424856,0.8430374,3.027951,3.384483,5.658249,5.758915,120.6813,129.8076,25.50528,26.50299,19.35174194,10.4,3228.474069,3239.786538,91,95
India,15.09563,6.93401,9.291405,12.60013,4.547826,4.487415,124.2951,125.026,21.03814,20.83562,3.08554803,4.5,21.05781072,75.38787464,56,58
Indonesia,6.520606,5.108331,4.26468,8.662262,4.622888,4.499772,126.4575,127.9824,22.40431,21.29583,4.73398984,2.2,19.97728503,57.02067698,72,70
Iran,10.25187,3.29368,3.556901,8.719461,5.216626,4.977045,125.5227,126.6903,26.13108,24.96062,9.56639959,5.1,101.8146498,382.0849112,99,99
Iraq,9.375947,5.409573,5.091568,8.205505,4.916117,4.845733,126.3037,126.5781,27.93361,26.41797,0.1,1.1,9.5306084,28.78216843,80,73
Ireland,1.096784,1.425918,0.8019557,6.802936,5.426795,5.54975,126.107,135.7947,26.19135,27.17342,16.04958483,7,2206.034851,2334.920507,73,83
Israel,0.4668932,0.2460507,0.2414667,1.379587,5.303616,5.193964,123.6205,127.3304,26.72752,26.49152,9.62702367,7.8,1337.657527,1830.254918,98,97
Italy,0.347624,0.5035728,0.3693565,6.86275,5.27189,5.275505,125.5278,131.8416,24.76686,26.05786,13.11617322,8.3,1778.171991,2234.854594,81,93
Jamaica,0.89485,1.653257,0.4594249,1.715075,4.742052,4.505454,124.9047,128.9684,26.64816,23.48137,5.86782627,4.9,179.7170818,296.1665967,86,98
Japan,0.7657017,2.678272,0.3964646,2.618268,5.197184,5.184811,123.9938,130.971,21.92321,23.19359,16.71088561,8,2453.539165,2139.774446,98,96
Jordan,1.816888,1.006203,0.7871578,4.722551,5.21362,5.036953,123.1612,124.6981,29.10914,26.89672,11.17276233,9.7,186.2762752,343.434194,95,95
Kazakhstan,4.804207,9.682122,59.82998,3.243732,4.930286,4.838248,129.2861,133.5181,25.82716,25.31124,8.75089906,3.6,59.8259656,224.2985505,95,95
Kenya,4.647214,4.384716,4.086071,3.963776,4.405716,4.306569,127.8673,129.4686,22.62218,21.24814,7.96678493,4.5,18.12122624,53.13666666,78,84
Kiribati,0,0,0,0,4.679334,4.526916,121.1155,127.5551,30.05359,28.32844,5.75353535,8.8,74.75724802,189.1217208,88,77
Kuwait,1.473193,0.6869304,0.5195457,2.133363,5.345846,5.275113,125.9623,128.3063,30.34041,28.26425,6.94734957,3.6,656.721671,1003.777869,97,99
Latvia,7.636865,13.6144,13.55055,13.21245,5.220083,5.128373,130.2153,135.6879,25.15152,25.67228,9.11084044,6.2,248.1673128,614.6041565,98,97
Lebanon,6.748635,3.415046,3.528095,5.83998,4.99548,4.762278,129.0933,127.8966,27.12636,26.58461,10.69018124,8.6,426.9104313,711.7494331,59,77
Lesotho,4.871619,8.700027,6.760558,4.016922,4.260839,4.084342,129.5081,129.675,26.32388,21.22586,7.24883813,7.1,22.5691039,73.52896222,78,84
Liberia,8.769966,12.45724,10.93209,6.895104,4.176063,3.858247,130.2577,130.9844,22.69692,21.71408,7.17299588,4.8,8.90498635,21.2713586,52,39
Libya,3.855423,2.277858,2.164599,3.422505,4.838883,4.722425,132.6075,132.8741,28.51032,26.05284,8.09111071,4.9,182.0256853,527.4885343,91,93
Lithuania,4.262231,12.48101,17.27364,11.09042,5.293031,5.171875,131.5597,135.9676,25.74912,26.15035,13.86026751,6.4,262.4988489,679.5041113,98,95
Luxembourg,0.7470686,0.5700158,4.691525,5.850252,5.558764,5.678827,125.0767,132.4368,25.76499,26.8421,17.01899916,8.3,4182.41167,4756.10378,91,98
"Macedonia, FYR",0.5409857,1.203615,0.7766075,3.306002,4.937957,4.841129,130.517,133.3158,25.16624,25.85252,13.45024103,9.4,175.0911952,565.0403971,98,96
Madagascar,6.18897,7.657578,6.716616,5.096874,4.356253,4.238943,130.8052,131.8243,20.65751,21.18056,13.16844286,3.8,10.35883556,27.89429905,58,61
Malawi,4.799733,19.08426,1.001555,3.980167,4.331791,4.200094,130.9474,132.5868,22.25219,21.51781,12.96215697,4.8,10.86170165,27.18339772,69,64
Malaysia,0.3987345,3.440241,0.8457006,4.748957,5.06707,4.963492,124.6766,126.736,24.86649,24.0888,8.01921186,3.6,149.3365576,345.4388168,92,96
Maldives,5.913028,4.448281,4.839902,9.592298,4.80615,4.577965,123.2035,126.9671,25.55654,22.48262,10.16905656,5.2,151.0795592,226.1175368,97,98
Mali,7.149033,14.29486,8.923428,5.500837,4.195883,3.961812,127.2195,126.5738,21.94506,21.23538,10.09534884,6.3,16.78542909,46.29222082,56,61
Malta,0.2681992,2.162102,1.70088,6.727343,5.341468,5.424448,126.6886,132.3861,26.88186,27.24103,13.26367082,8.1,838.7862382,1568.161992,65,95
Marshall Islands,6.242098,8.666203,5.902023,0.0893605,4.993848,4.830083,121.4017,126.7459,30.14378,28.3954,17.33077757,18.3,418.6319671,301.1740771,80,80
Mauritania,7.156045,9.414054,8.572767,5.956443,4.372733,4.158672,129.162,130.9867,25.43653,22.12388,10.5017503,6,24.36051865,73.93564448,81,83
Mauritius,3.139812,2.955359,0.1813333,2.654331,4.934729,4.913511,130.6751,133.1597,25.57969,24.47135,9.341391,4.2,165.4032565,363.7076565,84,88
Mexico,0.7766099,2.726987,1.012183,3.090917,5.003826,4.893992,122.6993,125.4426,27.97481,26.84663,15.67847943,5.6,395.8745849,583.8394642,96,97
"Micronesia, Fed. Sts.",4.617653,5.982942,3.376587,0.093911,4.943106,4.942969,124.4352,131.4297,30.2401,27.42871,12.49504755,8.1,176.5635808,225.9912909,88,84
Moldova,2.581955,8.755372,11.33592,4.481233,4.732658,4.596791,129.5345,132.2157,26.45503,23.87107,11.79958571,8.1,37.00297429,141.4823341,94,97
Mongolia,2.587343,5.748395,3.152557,7.567759,4.831112,4.739103,128.8302,134.9087,25.20751,24.12177,10.69555356,6,27.34339421,103.5585136,98,98
Morocco,2.633208,3.294953,2.263433,3.297315,4.749074,4.592728,126.6631,126.3062,25.65263,25.05147,5.03514974,5.3,72.83999862,156.5173378,94,94
Mozambique,3.385024,3.566629,2.767007,3.546353,4.385706,4.277095,133.2081,134.7484,22.44782,21.28235,15.53208373,6,13.06759525,32.13854659,77,76
Myanmar,8.887257,7.005801,5.072268,9.722318,4.393833,4.222789,121.8968,123.6783,21.5815,20.67094,1.46557188,2.4,3.0195901,20.26740212,77,79
Namibia,4.397063,2.276733,0.9430438,3.710479,4.592049,4.448348,132.2566,134.5155,24.39392,21.84144,11.09028379,6.2,105.0298864,259.7406343,68,77
Nauru,10.78315,18.1276,1.480165,23.38896,5.060301,4.847719,127.9003,133.2462,33.61334,32.70215,18.21428571,12.3,344.7744373,503.6340478,39,80
Nepal,9.619262,7.033643,5.702773,9.775215,4.342687,4.24465,124.8058,124.9196,20.16195,20.70203,8.90620192,5.5,502.7477099,45.94844982,71,72
Netherlands,0.3378218,0.6822001,0.5986739,2.641691,5.389425,5.477932,123.8227,131.9032,25.11372,25.45318,11.9896725,8.9,2405.068301,2833.33759,95,97
New Zealand,0.6015118,1.778913,0.2222593,4.205973,5.380087,5.354436,121.1642,128.4176,26.72162,26.9948,17.02631902,8,1244.18121,1831.331618,84,90
Nicaragua,0.6244723,4.354413,1.003529,0.3473513,4.589401,4.381254,122.9739,127.1194,26.78785,25.26476,18.76793846,7.4,57.19065976,147.2405523,98,85
Niger,7.812265,16.07558,9.946828,6.301385,4.089284,3.852942,132.2249,136.1844,21.47314,20.89746,9.88645573,3.8,6.88367406,21.01801921,41,39
